City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
25,Mar Del Plata,-38.0023,-57.5575,296.53,98,0,0.89,light rain,AR,2022-01-22 02:30:20
26,Udachnyy,66.4167,112.4,248.1,98,51,2.19,broken clouds,RU,2022-01-22 02:30:20
27,Provideniya,64.3833,-173.3,258.25,95,100,7.53,snow,RU,2022-01-22 02:30:20
28,Linxia,35.6003,103.2064,272.47,75,100,1.42,overcast clouds,CN,2022-01-22 02:30:21
29,Povenets,62.8487,34.8262,266.19,96,100,2.63,light snow,RU,2022-01-22 02:30:21
30,Mwinilunga,-11.7358,24.4293,289.45,99,100,0.76,light rain,ZM,2022-01-22 02:30:21
31,Qaanaaq,77.484,-69.3632,252.55,98,100,1.36,overcast clouds,GL,2022-01-22 02:30:22
32,Adrar,20.5022,-10.0711,291.19,24,97,4.77,overcast clouds,MR,2022-01-22 02:30:22
33,Khani,41.9563,42.9566,271.91,71,26,4.36,scattered clouds,GE,2022-01-22 02:30:22
34,Nouadhibou,20.931,-17.0347,291.14,88,100,4.63,overcast clouds,MR,2022-01-22 02:30:22
35,Sapa,5.1544,120.3241,300.33,73,100,1.85,overcast clouds,PH,2022-01-22 02:30:23
36,Port Hedland,-20.3167,118.5667,308.18,46,52,4.63,broken clouds,AU,2022-01-22 02:30:23
37,Chuy,-33.6971,-53.4616,296.79,93,100,2.32,moderate rain,UY,2022-01-22 02:30:23
38,Ambilobe,-13.2,49.05,296.45,92,91,1.45,light rain,MG,2022-01-22 02:30:24
39,Nikolskoye,59.7035,30.7861,272.09,94,100,4.4,light snow,RU,2022-01-22 02:30:24
40,Atuona,-9.8,-139.0333,299.15,78,16,8.5,light rain,PF,2022-01-22 02:30:24
41,Quatre Cocos,-20.2078,57.7625,300.98,85,43,8.08,light rain,MU,2022-01-22 02:30:25
42,Tieli,46.95,128.05,257.25,81,100,1.26,overcast clouds,CN,2022-01-22 02:30:25
43,Pisco,-13.7,-76.2167,294.27,83,0,7.72,clear sky,PE,2022-01-22 02:30:25
44,Itupiranga,-5.1347,-49.3267,295.74,96,49,0.56,scattered clouds,BR,2022-01-22 02:31:26
45,Faanui,-16.4833,-151.75,300.6,75,100,7.21,light rain,PF,2022-01-22 02:31:26
